topic_id	trial_id	relevance
1	NCT01256554	not_relevant
1	NCT01272011	not_relevant
1	NCT01313624	not_relevant
1	NCT01314716	not_relevant
1	NCT01347307	excluded
1	NCT01382667	not_relevant
1	NCT01386710	eligible
1	NCT01392209	excluded
1	NCT01434602	excluded
1	NCT01441037	not_relevant
1	NCT01445119	eligible
1	NCT01456377	not_relevant
1	NCT01466686	excluded
1	NCT01479686	excluded
1	NCT01495923	not_relevant
1	NCT01499823	eligible
1	NCT01502241	excluded
1	NCT01514201	excluded
1	NCT01529827	not_relevant
1	NCT01561755	not_relevant
1	NCT01568918	not_relevant
1	NCT01577966	eligible
1	NCT01588015	not_relevant
1	NCT01600417	not_relevant
1	NCT01604382	not_relevant
1	NCT01620411	not_relevant
1	NCT01624220	eligible
1	NCT01649804	not_relevant
1	NCT01682187	eligible
1	NCT01702610	excluded
1	NCT01711580	eligible
1	NCT01721577	excluded
1	NCT01747993	not_relevant
1	NCT01765088	excluded
1	NCT01781468	eligible
1	NCT01784328	not_relevant
1	NCT01784393	excluded
1	NCT01818349	not_relevant
1	NCT01830751	not_relevant
1	NCT01837862	excluded
1	NCT01847027	not_relevant
1	NCT01847235	excluded
1	NCT01849952	eligible
1	NCT01858168	not_relevant
1	NCT01861990	excluded
1	NCT01888120	not_relevant
1	NCT01905228	eligible
1	NCT01915368	not_relevant
1	NCT01952886	excluded
1	NCT01958736	not_relevant
1	NCT01976091	not_relevant
1	NCT01991457	not_relevant
1	NCT01993498	not_relevant
1	NCT01994200	not_relevant
1	NCT01994343	not_relevant
1	NCT01995500	not_relevant
1	NCT01996527	eligible
1	NCT01999270	excluded
1	NCT02022384	eligible
1	NCT02022644	excluded
1	NCT02044510	not_relevant
1	NCT02099487	excluded
1	NCT02113332	not_relevant
1	NCT02117973	not_relevant
1	NCT02119338	eligible
1	NCT02141035	not_relevant
1	NCT02146989	not_relevant
1	NCT02167204	not_relevant
1	NCT02174770	not_relevant
1	NCT02178774	not_relevant
1	NCT02215551	not_relevant
1	NCT02226692	not_relevant
1	NCT02229539	not_relevant
1	NCT02242084	not_relevant
1	NCT02247973	not_relevant
1	NCT02300506	excluded
1	NCT02300909	not_relevant
1	NCT02303145	not_relevant
1	NCT02356276	not_relevant
1	NCT02383797	not_relevant
1	NCT02399670	not_relevant
1	NCT02414165	excluded
1	NCT02415465	not_relevant
1	NCT02422459	not_relevant
1	NCT02453360	not_relevant
1	NCT02454907	not_relevant
1	NCT02465528	not_relevant
1	NCT02472288	not_relevant
1	NCT02473614	not_relevant
1	NCT02476097	not_relevant
1	NCT02490930	excluded
1	NCT02494973	not_relevant
1	NCT02500459	not_relevant
1	NCT02502487	not_relevant
1	NCT02504073	not_relevant
1	NCT02518347	not_relevant
1	NCT02570529	not_relevant
1	NCT02577120	not_relevant
1	NCT02594631	not_relevant
1	NCT02600065	not_relevant
1	NCT02622620	eligible
1	NCT02683343	not_relevant
1	NCT02684344	not_relevant
1	NCT02689830	not_relevant
1	NCT02755987	excluded
1	NCT02761070	excluded
1	NCT02761928	not_relevant
1	NCT02777398	not_relevant
1	NCT02780349	not_relevant
1	NCT02796261	excluded
1	NCT02800486	excluded
1	NCT02841163	not_relevant
1	NCT02844751	not_relevant
1	NCT02845596	not_relevant
1	NCT02883049	not_relevant
1	NCT02886143	not_relevant
1	NCT02892877	not_relevant
1	NCT02896361	not_relevant
1	NCT02918682	not_relevant
1	NCT02936739	not_relevant
1	NCT02936765	not_relevant
1	NCT02942264	excluded
1	NCT02942641	not_relevant
1	NCT02973438	not_relevant
1	NCT02991456	not_relevant
1	NCT02996955	not_relevant
1	NCT03022578	excluded
1	NCT03056573	not_relevant
1	NCT03102203	excluded
1	NCT03104465	not_relevant
1	NCT03108131	eligible
1	NCT03115879	not_relevant
1	NCT03116360	not_relevant
1	NCT03160807	not_relevant
1	NCT03174782	not_relevant
1	NCT03185806	not_relevant
1	NCT03199053	not_relevant
1	NCT03213717	not_relevant
1	NCT03224104	eligible
1	NCT03280420	not_relevant
1	NCT03314259	not_relevant
1	NCT03325309	not_relevant
1	NCT03332355	excluded
1	NCT03345134	not_relevant
1	NCT03347929	not_relevant
1	NCT03366779	not_relevant
1	NCT03370926	eligible
1	NCT03416738	not_relevant
1	NCT03434262	excluded
1	NCT03450850	excluded
1	NCT03506607	not_relevant
1	NCT03511053	not_relevant
1	NCT03513679	not_relevant
1	NCT03514069	excluded
1	NCT03528642	excluded
1	NCT03529708	eligible
1	NCT03541304	not_relevant
1	NCT03550690	not_relevant
1	NCT03561207	eligible
1	NCT03581292	excluded
1	NCT03591497	not_relevant
1	NCT03592316	not_relevant
1	NCT03593993	excluded
1	NCT03597451	not_relevant
1	NCT03600701	not_relevant
1	NCT03603405	excluded
1	NCT03606330	not_relevant
1	NCT03619200	not_relevant
1	NCT03626324	not_relevant
1	NCT03633552	excluded
1	NCT03633721	not_relevant
1	NCT03662906	excluded
1	NCT03668522	excluded
1	NCT03672500	not_relevant
1	NCT03695848	not_relevant
1	NCT03709329	not_relevant
1	NCT03717532	not_relevant
1	NCT03727841	not_relevant
1	NCT03728179	not_relevant
1	NCT03736174	not_relevant
1	NCT03743740	not_relevant
1	NCT03753178	not_relevant
1	NCT03784729	not_relevant
1	NCT03810326	not_relevant
1	NCT03843073	not_relevant
1	NCT03843814	excluded
1	NCT03863743	not_relevant
1	NCT03863847	not_relevant
1	NCT03872856	not_relevant
1	NCT03887962	not_relevant
1	NCT03893396	not_relevant
1	NCT03896568	excluded
1	NCT03906448	excluded
1	NCT03909321	not_relevant
1	NCT03914625	not_relevant
1	NCT03924999	not_relevant
1	NCT03942263	not_relevant
1	NCT03948386	not_relevant
1	NCT03955484	not_relevant
1	NCT03959085	not_relevant
1	NCT03959748	not_relevant
1	NCT03973918	excluded
1	NCT03980457	not_relevant
1	NCT03987971	not_relevant
1	NCT04043416	not_relevant
1	NCT04044742	not_relevant
1	NCT04047303	eligible
1	NCT04058171	not_relevant
1	NCT04059159	not_relevant
1	NCT04064957	not_relevant
1	NCT04087330	not_relevant
1	NCT04105374	excluded
1	NCT04118426	not_relevant
1	NCT04132739	not_relevant
1	NCT04143386	not_relevant
1	NCT04159792	not_relevant
1	NCT04193995	not_relevant
1	NCT04197934	excluded
1	NCT04201002	not_relevant
1	NCT04211974	eligible
1	NCT04234165	not_relevant
1	NCT04236596	not_relevant
1	NCT04254419	excluded
1	NCT04277039	not_relevant
1	NCT04292353	not_relevant
1	NCT04293562	not_relevant
1	NCT04293861	not_relevant
1	NCT04318795	not_relevant
1	NCT04334772	excluded
1	NCT04338646	not_relevant
1	NCT04392466	not_relevant
1	NCT04441164	not_relevant
1	NCT04458753	not_relevant
1	NCT04463732	not_relevant
1	NCT04517630	not_relevant
1	NCT04535765	not_relevant
1	NCT04541082	excluded
1	NCT04546399	not_relevant
1	NCT04553653	not_relevant
1	NCT04556994	not_relevant
1	NCT04576078	not_relevant
1	NCT04610385	not_relevant
1	NCT04611464	not_relevant
1	NCT04626063	not_relevant
1	NCT04628650	excluded
1	NCT04635176	not_relevant
1	NCT04643574	excluded
1	NCT04645264	not_relevant
1	NCT04663113	not_relevant
1	NCT04666909	not_relevant
1	NCT04677348	not_relevant
1	NCT04685213	not_relevant
1	NCT04704154	excluded
1	NCT04752826	excluded
1	NCT04757662	excluded
1	NCT04764253	not_relevant
1	NCT04771936	not_relevant
1	NCT04772456	eligible
1	NCT04848181	not_relevant
2	NCT00000469	not_relevant
2	NCT00001891	not_relevant
2	NCT00005199	eligible
2	NCT00005267	not_relevant
2	NCT00005313	not_relevant
2	NCT00005373	not_relevant
2	NCT00166400	not_relevant
2	NCT00172419	not_relevant
2	NCT00173186	not_relevant
2	NCT00176410	eligible
2	NCT00222950	not_relevant
2	NCT00235248	not_relevant
2	NCT00247533	excluded
2	NCT00256165	eligible
2	NCT00257777	eligible
2	NCT00269165	eligible
2	NCT00281346	not_relevant
2	NCT00294775	eligible
2	NCT00314002	not_relevant
2	NCT00323973	excluded
2	NCT00366847	not_relevant
2	NCT00375336	eligible
2	NCT00412386	excluded
2	NCT00487279	excluded
2	NCT00491218	excluded
2	NCT00499837	not_relevant
2	NCT00530894	excluded
2	NCT00535899	eligible
2	NCT00587470	excluded
2	NCT00590135	excluded
2	NCT00598598	excluded
2	NCT00598754	eligible
2	NCT00608140	excluded
2	NCT00624884	excluded
2	NCT00645489	not_relevant
2	NCT00647088	excluded
2	NCT00683124	not_relevant
2	NCT00699452	eligible
2	NCT00711984	not_relevant
2	NCT00722748	excluded
2	NCT00738972	not_relevant
2	NCT00767013	eligible
2	NCT00774657	eligible
2	NCT00782327	not_relevant
2	NCT00811330	excluded
2	NCT00820378	not_relevant
2	NCT00830726	eligible
2	NCT00855712	excluded
2	NCT00860678	eligible
2	NCT00903201	not_relevant
2	NCT00934752	not_relevant
2	NCT00965679	eligible
2	NCT00989508	eligible
2	NCT01020279	not_relevant
2	NCT01022476	not_relevant
2	NCT01022905	not_relevant
2	NCT01026571	eligible
2	NCT01026584	not_relevant
2	NCT01029873	not_relevant
2	NCT01050361	not_relevant
2	NCT01052428	excluded
2	NCT01052532	excluded
2	NCT01065454	not_relevant
2	NCT01074658	eligible
2	NCT01113385	not_relevant
2	NCT01156636	not_relevant
2	NCT01157572	excluded
2	NCT01165827	excluded
2	NCT01182805	not_relevant
2	NCT01194362	eligible
2	NCT01202721	excluded
2	NCT01217957	not_relevant
2	NCT01234753	excluded
2	NCT01238835	excluded
2	NCT01240902	excluded
2	NCT01272388	eligible
2	NCT01275339	eligible
2	NCT01314313	excluded
2	NCT01334801	eligible
2	NCT01340326	excluded
2	NCT01354613	excluded
2	NCT01390181	eligible
2	NCT01402453	eligible
2	NCT01415648	not_relevant
2	NCT01419015	excluded
2	NCT01437098	eligible
2	NCT01445171	excluded
2	NCT01458860	eligible
2	NCT01493284	excluded
2	NCT01502514	excluded
2	NCT01531374	eligible
2	NCT01575249	excluded
2	NCT01579058	excluded
2	NCT01586910	eligible
2	NCT01589380	eligible
2	NCT01614652	excluded
2	NCT01634269	excluded
2	NCT01635244	excluded
2	NCT01638156	excluded
2	NCT01675440	excluded
2	NCT01679431	excluded
2	NCT01698203	not_relevant
2	NCT01700439	excluded
2	NCT01715207	excluded
2	NCT01720342	excluded
2	NCT01736956	not_relevant
2	NCT01756222	eligible
2	NCT01760668	excluded
2	NCT01775215	excluded
2	NCT01777828	eligible
2	NCT01787084	eligible
2	NCT01823432	eligible
2	NCT01837160	eligible
2	NCT01845285	excluded
2	NCT01862237	excluded
2	NCT01863173	not_relevant
2	NCT01868880	excluded
2	NCT01872949	excluded
2	NCT01879293	not_relevant
2	NCT01898351	not_relevant
2	NCT01920815	eligible
2	NCT01923077	not_relevant
2	NCT01931956	not_relevant
2	NCT01954303	not_relevant
2	NCT01980797	eligible
2	NCT01989299	not_relevant
2	NCT01991457	not_relevant
2	NCT01993498	not_relevant
2	NCT01994200	not_relevant
2	NCT01994343	not_relevant
2	NCT01995500	excluded
2	NCT02007967	eligible
2	NCT02010177	eligible
2	NCT02018835	eligible
2	NCT02026154	eligible
2	NCT02059993	not_relevant
2	NCT02060071	eligible
2	NCT02071654	not_relevant
2	NCT02071849	excluded
2	NCT02079428	eligible
2	NCT02080299	eligible
2	NCT02086136	not_relevant
2	NCT02098772	eligible
2	NCT02100202	not_relevant
2	NCT02137317	not_relevant
2	NCT02146755	eligible
2	NCT02149654	excluded
2	NCT02150486	eligible
2	NCT02159794	excluded
2	NCT02160301	not_relevant
2	NCT02166814	not_relevant
2	NCT02167906	not_relevant
2	NCT02174471	eligible
2	NCT02203227	not_relevant
2	NCT02214277	excluded
2	NCT02221921	eligible
2	NCT02241109	eligible
2	NCT02268903	not_relevant
2	NCT02269046	not_relevant
2	NCT02283970	eligible
2	NCT02316587	eligible
2	NCT02361996	eligible
2	NCT02380911	not_relevant
2	NCT02394184	eligible
2	NCT02395107	excluded
2	NCT02408003	excluded
2	NCT02448485	eligible
2	NCT02448927	excluded
2	NCT02468778	not_relevant
2	NCT02475291	not_relevant
2	NCT02480595	not_relevant
2	NCT02500420	not_relevant
2	NCT02502747	not_relevant
2	NCT02504762	not_relevant
2	NCT02510482	excluded
2	NCT02530151	not_relevant
2	NCT02539810	not_relevant
2	NCT02546856	excluded
2	NCT02559011	eligible
2	NCT02563626	not_relevant
2	NCT02590809	not_relevant
2	NCT02592369	excluded
2	NCT02600234	excluded
2	NCT02607527	not_relevant
2	NCT02624934	excluded
2	NCT02628899	excluded
2	NCT02661451	excluded
2	NCT02670031	eligible
2	NCT02672553	excluded
2	NCT02675114	excluded
2	NCT02679261	eligible
2	NCT02688153	excluded
2	NCT02701283	excluded
2	NCT02711540	not_relevant
2	NCT02713932	not_relevant
2	NCT02718495	not_relevant
2	NCT02724761	not_relevant
2	NCT02732691	excluded
2	NCT02738853	excluded
2	NCT02747485	excluded
2	NCT02764645	excluded
2	NCT02791880	eligible
2	NCT02797158	eligible
2	NCT02799823	excluded
2	NCT02806310	eligible
2	NCT02830204	excluded
2	NCT02833090	excluded
2	NCT02836899	excluded
2	NCT02838680	excluded
2	NCT02862600	not_relevant
2	NCT02883049	not_relevant
2	NCT02885636	excluded
2	NCT02899624	eligible
2	NCT02910349	excluded
2	NCT02917525	excluded
2	NCT02929589	not_relevant
2	NCT02935491	not_relevant
2	NCT02942628	not_relevant
2	NCT02950428	excluded
2	NCT02956915	eligible
2	NCT02957071	not_relevant
2	NCT02974218	eligible
2	NCT02976818	eligible
2	NCT03004599	excluded
2	NCT03025971	eligible
2	NCT03026556	not_relevant
2	NCT03051334	eligible
2	NCT03051360	eligible
2	NCT03056573	excluded
2	NCT03078972	eligible
2	NCT03080519	not_relevant
2	NCT03084510	excluded
2	NCT03087552	eligible
2	NCT03088098	eligible
2	NCT03094143	excluded
2	NCT03107897	eligible
2	NCT03135496	eligible
2	NCT03154814	not_relevant
2	NCT03156842	not_relevant
2	NCT03163329	eligible
2	NCT03168529	excluded
2	NCT03172390	eligible
2	NCT03183414	eligible
2	NCT03186742	excluded
2	NCT03223558	eligible
2	NCT03229993	not_relevant
2	NCT03251183	not_relevant
2	NCT03260140	eligible
2	NCT03280433	excluded
2	NCT03291210	eligible
2	NCT03291925	excluded
2	NCT03308435	eligible
2	NCT03310671	excluded
2	NCT03327688	not_relevant
2	NCT03332745	eligible
2	NCT03333330	eligible
2	NCT03341104	not_relevant
2	NCT03352089	excluded
2	NCT03360591	excluded
2	NCT03364270	excluded
2	NCT03385915	eligible
2	NCT03416738	not_relevant
2	NCT03440697	eligible
2	NCT03442400	eligible
2	NCT03454360	eligible
2	NCT03458806	eligible
2	NCT03466918	excluded
2	NCT03470246	eligible
2	NCT03471065	excluded
2	NCT03474159	eligible
2	NCT03495050	eligible
2	NCT03503032	not_relevant
2	NCT03524001	excluded
2	NCT03549052	excluded
2	NCT03549559	eligible
2	NCT03561805	eligible
2	NCT03570190	eligible
2	NCT03578952	excluded
2	NCT03581695	not_relevant
2	NCT03583320	not_relevant
2	NCT03585933	eligible
2	NCT03588247	eligible
2	NCT03600051	eligible
2	NCT03603483	eligible
2	NCT03616678	eligible
2	NCT03618095	eligible
2	NCT03628313	eligible
2	NCT03633383	excluded
2	NCT03635424	eligible
2	NCT03641599	eligible
2	NCT03666351	excluded
2	NCT03669614	not_relevant
2	NCT03669666	eligible
2	NCT03695120	excluded
2	NCT03719248	excluded
2	NCT03726424	excluded
2	NCT03744650	not_relevant
2	NCT03764995	not_relevant
2	NCT03779620	eligible
2	NCT03788590	eligible
2	NCT03805711	eligible
2	NCT03836521	eligible
2	NCT03838237	not_relevant
2	NCT03863132	excluded
2	NCT03883490	eligible
2	NCT03908255	not_relevant
2	NCT03914625	not_relevant
2	NCT03928158	excluded
2	NCT03935178	eligible
2	NCT03953755	not_relevant
2	NCT03959085	not_relevant
2	NCT04009434	excluded
2	NCT04026204	eligible
2	NCT04056832	excluded
2	NCT04061213	excluded
2	NCT04075253	not_relevant
2	NCT04083118	eligible
2	NCT04083729	excluded
2	NCT04084015	excluded
2	NCT04126018	eligible
2	NCT04144725	not_relevant
2	NCT04149535	eligible
2	NCT04149600	eligible
2	NCT04150315	not_relevant
2	NCT04157920	excluded
2	NCT04160130	excluded
2	NCT04168411	not_relevant
2	NCT04171726	eligible
2	NCT04194632	excluded
2	NCT04205474	excluded
2	NCT04217135	excluded
2	NCT04231461	eligible
2	NCT04242225	excluded
2	NCT04245956	excluded
2	NCT04272060	excluded
2	NCT04277572	eligible
2	NCT04281771	excluded
2	NCT04293562	not_relevant
2	NCT04295889	not_relevant
2	NCT04299971	not_relevant
2	NCT04300686	not_relevant
2	NCT04303026	not_relevant
2	NCT04310046	eligible
2	NCT04312139	excluded
2	NCT04333875	eligible
2	NCT04344353	eligible
2	NCT04372563	not_relevant
2	NCT04385459	eligible
2	NCT04396067	not_relevant
2	NCT04401397	eligible
2	NCT04416750	excluded
2	NCT04417829	eligible
2	NCT04448691	excluded
2	NCT04459169	not_relevant
2	NCT04467242	not_relevant
2	NCT04473443	eligible
2	NCT04514250	excluded
2	NCT04515693	not_relevant
2	NCT04517955	excluded
2	NCT04521452	excluded
2	NCT04527367	eligible
2	NCT04546399	not_relevant
2	NCT04571372	eligible
2	NCT04577105	not_relevant
2	NCT04579445	eligible
2	NCT04584203	excluded
2	NCT04600739	eligible
2	NCT04601467	not_relevant
2	NCT04627987	excluded
2	NCT04634240	excluded
2	NCT04639258	excluded
2	NCT04645862	eligible
2	NCT04657874	not_relevant
2	NCT04663334	excluded
2	NCT04665596	eligible
2	NCT04694859	eligible
2	NCT04699279	not_relevant
2	NCT04715568	not_relevant
2	NCT04717219	eligible
2	NCT04722796	eligible
2	NCT04729933	not_relevant
2	NCT04755010	excluded
2	NCT04756778	eligible
2	NCT04773652	not_relevant
2	NCT04797572	excluded
2	NCT04816851	eligible
2	NCT04817735	eligible
2	NCT04827238	eligible
2	NCT04831645	not_relevant
2	NCT04836897	eligible
2	NCT04860752	eligible
2	NCT04861805	excluded
2	NCT04862273	excluded
3	NCT00000910	not_relevant
3	NCT00001364	excluded
3	NCT00001672	not_relevant
3	NCT00004738	not_relevant
3	NCT00029315	excluded
3	NCT00040326	not_relevant
3	NCT00040560	not_relevant
3	NCT00046124	not_relevant
3	NCT00055484	not_relevant
3	NCT00081432	not_relevant
3	NCT00097448	not_relevant
3	NCT00122278	not_relevant
3	NCT00125489	not_relevant
3	NCT00142090	excluded
3	NCT00176696	not_relevant
3	NCT00179907	not_relevant
3	NCT00184548	not_relevant
3	NCT00194610	not_relevant
3	NCT00251108	excluded
3	NCT00256802	excluded
3	NCT00257309	not_relevant
3	NCT00261391	not_relevant
3	NCT00263094	not_relevant
3	NCT00265148	not_relevant
3	NCT00277966	not_relevant
3	NCT00279032	not_relevant
3	NCT00291395	not_relevant
3	NCT00293657	not_relevant
3	NCT00294697	not_relevant
3	NCT00313703	not_relevant
3	NCT00314002	not_relevant
3	NCT00323570	not_relevant
3	NCT00355160	not_relevant
3	NCT00357864	not_relevant
3	NCT00363662	eligible
3	NCT00370877	not_relevant
3	NCT00374530	not_relevant
3	NCT00385385	not_relevant
3	NCT00389935	not_relevant
3	NCT00414583	not_relevant
3	NCT00417898	not_relevant
3	NCT00418275	not_relevant
3	NCT00419874	not_relevant
3	NCT00444899	not_relevant
3	NCT00449540	not_relevant
3	NCT00449787	eligible
3	NCT00458770	not_relevant
3	NCT00479037	not_relevant
3	NCT00486239	not_relevant
3	NCT00487578	excluded
3	NCT00493103	not_relevant
3	NCT00526214	excluded
3	NCT00582868	not_relevant
3	NCT00587054	not_relevant
3	NCT00588146	not_relevant
3	NCT00594685	not_relevant
3	NCT00596063	not_relevant
3	NCT00604864	not_relevant
3	NCT00635063	not_relevant
3	NCT00636402	not_relevant
3	NCT00650858	excluded
3	NCT00654563	not_relevant
3	NCT00665236	not_relevant
3	NCT00706160	not_relevant
3	NCT00719108	not_relevant
3	NCT00733382	not_relevant
3	NCT00733759	not_relevant
3	NCT00747682	not_relevant
3	NCT00760903	eligible
3	NCT00783419	not_relevant
3	NCT00783523	not_relevant
3	NCT00784134	not_relevant
3	NCT00785304	not_relevant
3	NCT00787163	not_relevant
3	NCT00806637	not_relevant
3	NCT00806871	not_relevant
3	NCT00809952	not_relevant
3	NCT00810888	not_relevant
3	NCT00824252	not_relevant
3	NCT00827892	not_relevant
3	NCT00844532	not_relevant
3	NCT00857051	not_relevant
3	NCT00857662	eligible
3	NCT00862095	excluded
3	NCT00880425	not_relevant
3	NCT00881660	not_relevant
3	NCT00885560	not_relevant
3	NCT00921648	not_relevant
3	NCT00922233	not_relevant
3	NCT00944216	not_relevant
3	NCT00957840	excluded
3	NCT00963040	not_relevant
3	NCT00971776	not_relevant
3	NCT00976677	not_relevant
3	NCT00993252	excluded
3	NCT01020279	not_relevant
3	NCT01022476	not_relevant
3	NCT01022905	not_relevant
3	NCT01026584	not_relevant
3	NCT01029873	not_relevant
3	NCT01041950	excluded
3	NCT01054378	not_relevant
3	NCT01064011	excluded
3	NCT01094912	not_relevant
3	NCT01098890	excluded
3	NCT01105520	excluded
3	NCT01105676	excluded
3	NCT01113710	not_relevant
3	NCT01116323	not_relevant
3	NCT01146132	not_relevant
3	NCT01158508	not_relevant
3	NCT01158807	not_relevant
3	NCT01174901	not_relevant
3	NCT01176565	not_relevant
3	NCT01182051	not_relevant
3	NCT01189331	not_relevant
3	NCT01202864	not_relevant
3	NCT01244347	not_relevant
3	NCT01250613	not_relevant
3	NCT01254851	not_relevant
3	NCT01258257	not_relevant
3	NCT01289860	not_relevant
3	NCT01294046	excluded
3	NCT01298921	not_relevant
3	NCT01328613	not_relevant
3	NCT01332864	not_relevant
3	NCT01335490	not_relevant
3	NCT01344317	not_relevant
3	NCT01347307	not_relevant
3	NCT01360970	not_relevant
3	NCT01396525	not_relevant
3	NCT01430988	not_relevant
3	NCT01435941	not_relevant
3	NCT01464775	not_relevant
3	NCT01465841	not_relevant
3	NCT01470885	not_relevant
3	NCT01471314	excluded
3	NCT01498705	not_relevant
3	NCT01525875	not_relevant
3	NCT01532830	not_relevant
3	NCT01556711	eligible
3	NCT01566903	eligible
3	NCT01573169	not_relevant
3	NCT01578694	not_relevant
3	NCT01579929	not_relevant
3	NCT01613638	not_relevant
3	NCT01619293	eligible
3	NCT01619943	excluded
3	NCT01621256	not_relevant
3	NCT01632787	not_relevant
3	NCT01649700	not_relevant
3	NCT01673373	not_relevant
3	NCT01677624	not_relevant
3	NCT01687972	not_relevant
3	NCT01689402	excluded
3	NCT01701245	not_relevant
3	NCT01702636	not_relevant
3	NCT01729559	not_relevant
3	NCT01758211	eligible
3	NCT01774916	excluded
3	NCT01790074	excluded
3	NCT01792817	not_relevant
3	NCT01793532	not_relevant
3	NCT01794585	not_relevant
3	NCT01799018	not_relevant
3	NCT01803685	eligible
3	NCT01804517	excluded
3	NCT01810302	not_relevant
3	NCT01814982	excluded
3	NCT01827046	not_relevant
3	NCT01829386	not_relevant
3	NCT01830894	not_relevant
3	NCT01842633	excluded
3	NCT01843803	not_relevant
3	NCT01845935	not_relevant
3	NCT01848990	not_relevant
3	NCT01854723	not_relevant
3	NCT01855672	not_relevant
3	NCT01856699	not_relevant
3	NCT01859507	not_relevant
3	NCT01878136	not_relevant
3	NCT01886222	not_relevant
3	NCT01886521	not_relevant
3	NCT01895725	not_relevant
3	NCT01899339	not_relevant
3	NCT01912066	not_relevant
3	NCT01916824	not_relevant
3	NCT01922700	not_relevant
3	NCT01925872	not_relevant
3	NCT01946126	excluded
3	NCT01955317	not_relevant
3	NCT01961804	not_relevant
3	NCT01977001	excluded
3	NCT01977898	not_relevant
